date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:34	34483/34483	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:00%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/10.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/10.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:35	44574/44574	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:01%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/9.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/9.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:36	138800/138800	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:00%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:39	17883/17883	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:00%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/13.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/13.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:39	20982/20982	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:00%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/12.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/12.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:41	41628/41628	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:00%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/11.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/11.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:42	20366/20366	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:00%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/14.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/14.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:44	30951/30951	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:01%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/15.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/15.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:46	32119/32119	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:01%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/16.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/16.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:28:52	35028/35028	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:56%20GMT	http://jorgesanchez.net/manuales/html/imagenes-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/imagenes-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/imagenes-html5.html)
23:28:57	23430/23430	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:56%20GMT	http://jorgesanchez.net/manuales/html/imagenes-html-2016-web-resources/image/2.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/imagenes-html-2016-web-resources/image/2.png	(from http://jorgesanchez.net/manuales/html/imagenes-html5.html)
23:28:58	100164/100164	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:01%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/17.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/17.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
